id,zone,regular_total,regular_free,disabled_total,disabled_free
parking-41,zone-4,90,0,20,10
parking-42,zone-4,90,10,20,10
parking-43,zone-4,90,20,20,10
parking-44,zone-4,90,30,20,10
parking-45,zone-4,90,40,20,10
parking-46,zone-4,90,50,20,10
parking-47,zone-4,90,60,20,10
parking-48,zone-4,90,70,20,10
parking-49,zone-4,90,80,20,10
parking-40,zone-4,90,90,20,10
parking-41,zone-4,90,80,20,10
parking-42,zone-4,90,70,20,10
parking-43,zone-4,90,80,20,10
parking-44,zone-4,90,90,20,10
parking-45,zone-4,90,80,20,10
parking-46,zone-4,90,70,20,10
parking-47,zone-4,90,80,20,10
parking-48,zone-4,90,90,20,10
parking-49,zone-4,90,80,20,10
parking-40,zone-4,90,70,20,10
parking-41,zone-4,90,80,20,10
parking-42,zone-4,90,90,20,10
parking-43,zone-4,90,80,20,10
parking-44,zone-4,90,70,20,10
parking-45,zone-4,90,80,20,10
parking-46,zone-4,90,90,20,10
parking-47,zone-4,90,80,20,10
parking-48,zone-4,90,70,20,10
parking-49,zone-4,90,80,20,10
parking-40,zone-4,90,90,20,10
parking-41,zone-4,90,80,20,10
parking-42,zone-4,90,70,20,10
parking-43,zone-4,90,80,20,10
parking-44,zone-4,90,90,20,10
parking-45,zone-4,90,80,20,10
parking-46,zone-4,90,70,20,10
parking-47,zone-4,90,80,20,10
parking-48,zone-4,90,90,20,10
parking-49,zone-4,90,80,20,10
parking-40,zone-4,90,70,20,10
parking-41,zone-4,90,80,20,10
parking-42,zone-4,90,90,20,10
parking-43,zone-4,90,80,20,10
parking-44,zone-4,90,70,20,10
parking-45,zone-4,90,80,20,10
parking-46,zone-4,90,90,20,10
parking-47,zone-4,90,80,20,10
parking-48,zone-4,90,70,20,10
parking-49,zone-4,90,80,20,10
parking-40,zone-4,90,90,20,10
parking-41,zone-4,90,80,20,10
parking-42,zone-4,90,70,20,10
parking-43,zone-4,90,80,20,10
parking-44,zone-4,90,90,20,10
parking-45,zone-4,90,80,20,10
parking-46,zone-4,90,70,20,10
parking-47,zone-4,90,80,20,10
parking-48,zone-4,90,90,20,10
